NXPI :: 24.1000 :: ueeeeedued :: 2012-05-08 13:21:48 -0700
DVAX :: 5.0900 :: eeeudeeude :: 2012-05-08 13:21:49 -0700
LULU :: 74.9300 :: eueudueeee :: 2012-05-08 13:21:49 -0700
STEC :: 7.7000 :: duueeeeeee :: 2012-05-08 13:26:51 -0700
OIL :: 24.2300 :: eeeeeduede :: 2012-05-08 13:26:51 -0700
JAZZ :: 50.3700 :: eeeeeeeuee :: 2012-05-08 13:31:53 -0700
SQQQ :: 12.1100 :: ueeeueueee :: 2012-05-08 13:36:54 -0700
TIVO :: 10.1600 :: eeueduudee :: 2012-05-08 13:41:56 -0700
DMD :: 7.9300 :: eeueedddud :: 2012-05-08 13:46:57 -0700
EXK :: 8.1700 :: ududeudeeu :: 2012-05-08 13:46:58 -0700
M :: 39.5100 :: ueedeeddeu :: 2012-05-08 13:51:59 -0700
DEPO :: 5.7100 :: eeeeeueede :: 2012-05-08 13:56:01 -0700
LPSN :: 14.8900 :: eeeeueeeeu :: 2012-05-08 14:16:06 -0700
AOL :: 25.5800 ::  :: 2012-05-09 05:00:16 -0700
AGU :: 84.5700 ::  :: 2012-05-09 05:00:17 -0700
F :: 10.6100 ::  :: 2012-05-09 05:00:17 -0700
HLF :: 45.5500 ::  :: 2012-05-09 05:00:18 -0700
EWI :: 11.3900 ::  :: 2012-05-09 05:00:18 -0700
BNO :: 79.6100 ::  :: 2012-05-09 05:00:19 -0700
DOW :: 32.1100 ::  :: 2012-05-09 05:00:19 -0700
SLB :: 70.3900 ::  :: 2012-05-09 05:01:20 -0700
EWP :: 25.6300 ::  :: 2012-05-09 05:01:22 -0700
CVX :: 102.8400 ::  :: 2012-05-09 05:16:26 -0700
TBT :: 17.9490 ::  :: 2012-05-09 05:16:27 -0700
MO :: 32.2600 ::  :: 2012-05-09 05:21:28 -0700
MRK :: 38.6300 ::  :: 2012-05-09 05:21:29 -0700
CSCO :: 18.7100 ::  :: 2012-05-09 05:31:32 -0700
